고객명,매출년도,사용량,사용열량
(주)삼코,2025,7788.588299999999,333245.03109999996
(주)서대구서비스기아오토큐,2020,17962.2132,765347.6422
(주)서대구서비스기아오토큐,2021,17766.929600000003,757084.3093000001
(주)서대구서비스기아오토큐,2022,14606.077800000001,626738.9467
(주)서대구서비스기아오토큐,2023,11925.7863,510483.5506
(주)서대구서비스기아오토큐,2024,12272.6202,524095.4664
(주)서대구서비스기아오토큐,2025,16712.3189,713961.2778
(주)서대구에너지,2020,251329.0,10716823.046
(주)서대구에너지,2021,278789.0,11877749.616
(주)서대구에너지,2022,362903.0,15559137.015999999
(주)서대구에너지,2023,187878.0,8006287.404
(주)서대구에너지,2024,473819.0,20177422.601999998
(주)서대구에너지,2025,0.0,0.0
(주)서도염직,2020,163261.0,6956189.07
(주)서도염직,2021,159370.0,6788632.7930000005
(주)서도염직,2022,171469.0,7351981.347999999
(주)서도염직,2023,155327.0,6638766.674000001
(주)서도염직,2024,140426.0,5992408.793
(주)서도염직,2025,117104.0,4994270.16
(주)서신금속,2020,30155.0,1284743.995
(주)서신금속,2021,36519.0,1555965.82
(주)서신금속,2022,40850.3769,1752012.8572
(주)서신금속,2023,2792.9334,120099.1974
(주)서원푸드,2020,161961.93,6900371.2495
(주)서원푸드,2021,136166.9148,5799367.5597
(주)서원푸드,2022,169917.1036,7284806.3925
(주)서원푸드,2023,188248.30049999998,8045311.9135
(주)서원푸드,2024,258982.8107,11051358.5695
(주)서원푸드,2025,284155.74199999997,12116776.3519
(주)선일로에스,2020,1763601.0,75180413.127
(주)선일로에스,2021,2264248.0,96474937.246
(주)선일로에스,2022,2100996.0,89928655.562
(주)선일로에스,2023,1997380.0,85286344.52000001
(주)선일로에스,2024,2755306.0,117531504.052
(주)선일로에스,2025,2172822.0,92469015.728
(주)성빈식품,2020,176154.6292,7505083.6269
(주)성빈식품,2021,209724.2728,8933256.538999999
(주)성빈식품,2022,260799.9549,11184130.502500001
(주)성빈식품,2023,216369.92609999998,9250685.9756
(주)성빈식품,2024,197192.2321,8414462.8095
(주)성빈식품,2025,202222.2743,8626520.8773
(주)성서현대정비센터,2020,9931.7792,423206.3706
(주)성서현대정비센터,2021,8860.5792,377547.7888
(주)성서현대정비센터,2022,7498.726500000001,321740.7501
(주)성서현대정비센터,2023,10193.7354,436749.10990000004
(주)성서현대정비센터,2024,6946.2552,296640.2597
(주)성서현대정비센터,2025,10366.2579,442906.2183
(주)성일플레이팅,2020,114790.1248,4891001.5196
(주)성일플레이팅,2021,116820.1654,4977095.9544
(주)성일플레이팅,2022,107342.3222,4603029.7178
(주)성일플레이팅,2023,89801.6517,3840970.2042
(주)성일플레이팅,2024,108087.38070000001,4613656.5273
(주)성일플레이팅,2025,119064.2975,5081609.3266
(주)성창산업,2020,61228.4676,2609045.0781
(주)성창산업,2021,45696.8456,1947127.7666
(주)성창산업,2022,41433.490699999995,1776501.7077
(주)성창산업,2023,30038.8236,1287341.8028
(주)세명,2022,0.0,0.0
(주)세명기업,2020,248466.0,10587947.602
(주)세명기업,2021,293964.0,12524633.681
(주)세명기업,2022,315147.0,13515674.711000001
(주)세명기업,2023,307340.0,13149122.995000001
(주)세명기업,2024,307207.0,13111435.401
(주)세명기업,2025,275028.0,11740786.366
(주)세아섬유,2020,451969.0,19255417.667999998
(주)세아섬유,2021,510690.0,21753942.686
(주)세아섬유,2022,571208.0,24494619.685000002
(주)세아섬유,2023,535.0,23005.0
(주)세아섬유,2024,0.0,0.0
(주)세아섬유,2025,0.0,0.0
(주)세양섬유,2020,380913.0,16228226.501
(주)세양섬유,2021,365802.0,15585435.204
(주)세양섬유,2022,295935.0,12687875.428
(주)세양섬유,2023,239562.0,10243935.002
(주)세양섬유,2024,225822.0,9637418.874
(주)세양섬유,2025,251461.0,10727469.401999999
(주)세원정공,2020,11133.6196,474329.7829
(주)세원정공,2021,10539.363000000001,449149.75
(주)세원정공,2022,7372.8131,316109.6982
(주)세원정공,2023,8315.6829,355435.8863
(주)세원정공,2024,8295.8255,354001.0058
(주)세원정공,2025,8162.4886,348125.0723
(주)수성,2020,37929.0,1615594.9810000001
(주)수성,2021,31034.0,1320738.472
(주)수성,2022,39527.0,1693838.5869999998
(주)수성,2023,18544.0,794454.293
(주)수성,2024,61555.0,2624285.466
(주)수성,2025,35421.0,1512641.347
(주)시노펙스멤브레인,2025,100624.0,4282758.728
(주)신대한물산,2020,5.0,213.066
(주)신대한물산,2021,0.0,0.0
(주)신아엠피씨,2020,59930.0,2553279.374
(주)신영아이앤티,2020,298476.0,12715447.127
